sample_id	NCBI_accession
adbd3e38-0360-45a0-a0c8-3ff1e015576e	SRR19064942
2eb05baa-ce22-4c31-991b-a4c73e9da2f9	SRR19064941
0fcc4051-192a-4459-ac2a-2479dc62b136	SRR19064944
0bc0c6c0-ec24-4785-b5f4-a04224eaa20e	SRR19064940
e94db435-0a3b-49de-a771-025b28465ee8	SRR19064939
c8522308-1e2a-4908-800e-56f0a20b078c	SRR19064938
39399037-a2ff-45c7-b5bd-49e36908de46	SRR19064937
f4e3ecf1-7ee9-4c67-9034-a8c9c24eb3de	SRR19064935
80e46de9-6c55-45c3-bd7f-82879f7edaf0	SRR19064390
be2c77aa-108f-4e20-8066-df45b372d719	SRR19064388
672e7f72-7bf4-4e54-a6b9-3c36d5b65508	SRR19064387
2c190f8f-efe0-4bba-b19b-fa955854ee16	SRR19064386
f6c0ce9b-0f92-41bc-85cb-be4c6f6b8eca	SRR19064389
e526f6b9-755c-466a-af15-b7c0e2f8d086	SRR19064385
a5760d3c-c93d-430e-9437-b6210bb0d866	SRR19064384
3ff836b8-25e1-42c4-b101-df8d8073c5ca	SRR19064383
c271830e-60a8-470f-9bb2-f0ad4683e867	SRR19064382
913057bd-7d46-42fb-8988-0a5051518d9c	SRR19064380
764f0c15-bb4b-4e64-be63-c62923344505	SRR19064378
f721fd7f-135f-4ed0-aae3-4523e79900c0	SRR19064381
3274e273-0068-48d6-af47-b629be02a690	SRR19064377
f950cc16-3758-4cef-9f0b-088cd0ddb586	SRR19064376
b26d8d28-33ef-4261-84f6-898b83fecf59	SRR19064375
15be0832-981c-4a47-b347-d6d096a9afcd	SRR19064374
0b5d22a1-b70e-4111-9938-9fb368cd3847	SRR19064372
a2ba94a4-8fe3-49cb-b285-1076b172eac9	SRR19064371
50cb9272-4486-439c-bf3b-9d61fd731df6	SRR19064370
00d25afd-d151-4332-b2d2-da05f15c4097	SRR19064373
0826967a-c14d-4a86-a3b0-3c25b4fb6f3c	SRR19064700
7caef667-93db-4e22-b807-7f698d40f5cf	SRR19064699
c246a921-3d0f-4adf-a90b-4f1f2438d924	SRR19064698
