sample_id	subject_id	control	country	body_site	body_site_details	age	age_group	age_unit	ancestry	ancestry_details	antibiotics_current_use	biomarker	bmi	days_from_first_collection	dietary_restriction	disease	disease_details	disease_response_orr	disease_response_pfs	disease_response_pfs_month	disease_response_recist	dna_extraction_kit	family	family_role	feces_phenotype	fmt_id	fmt_role	hla	lifestyle	location	median_read_length	minimum_read_length	ncbi_accession	neonatal_birth_weight	neonatal_delivery_procedure	neonatal_feeding_method	neonatal_gestational_age	neonatal_preterm_birth	number_bases	number_reads	obgyn_birth_control	obgyn_lactating	obgyn_menopause	obgyn_pregnancy	pmid	probing_pocket_depth	sequencing_platform	sex	smoker	subcohort	treatment	tumor_staging_ajcc	tumor_staging_tnm	westernized	zigosity	uncurated_metadata	Cage	file_paths	uuid
DD1	1	Study Control	NA	feces	NA	13.57	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	A	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD1/CALTEC-001-DGD1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD1/CALTEC-001-DGD1_R2.fastq.gz;	3dfecd3b-2532-4ca8-ac85-63465dd3e03e
DD2	2	Study Control	NA	feces	NA	13.57	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	A	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD2/CALTEC-001-DGD2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD2/CALTEC-001-DGD2_R2.fastq.gz;	d2b9638a-8c15-4d1d-b5cd-3efeeeed0f2f
DD3	3	Study Control	NA	feces	NA	13.57	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	A	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD3/CALTEC-001-DGD3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD3/CALTEC-001-DGD3_R2.fastq.gz;	631e73ff-42b9-47ca-b2a0-8dcc7558af6c
DD4	4	Study Control	NA	feces	NA	13.57	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	A	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD4/CALTEC-001-DGD4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD4/CALTEC-001-DGD4_R2.fastq.gz;	6813c146-ca62-4ff7-9add-01d23ccbeff0
DD5	5	Study Control	NA	feces	NA	13.43	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD5/CALTEC-001-DGD5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD5/CALTEC-001-DGD5_R2.fastq.gz;	ea26a9a5-7f76-4e80-ac47-2d2dee95a8e7
DD6	6	Study Control	NA	feces	NA	13.43	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD6/CALTEC-001-DGD6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD6/CALTEC-001-DGD6_R2.fastq.gz;	f0f57afb-d1d2-4de1-b05b-8306ca7ef9a5
DD7	7	Study Control	NA	feces	NA	13.43	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	B	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD7/CALTEC-001-DGD7_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD7/CALTEC-001-DGD7_R2.fastq.gz;	3fa1e12a-e500-4478-8714-1581df255bb4
DD8	8	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	C	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD8/CALTEC-001-DGD8_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD8/CALTEC-001-DGD8_R2.fastq.gz;	265da01f-bce1-4735-8184-43f42ba5f34b
DD9	9	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	C	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD9/CALTEC-001-DGD9_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD9/CALTEC-001-DGD9_R2.fastq.gz;	985f49c5-a0d2-428d-98f4-b458b0c2c0da
DD10	10	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	C	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD10/CALTEC-001-DGD10_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD10/CALTEC-001-DGD10_R2.fastq.gz;	ae015e92-34c1-45a4-818e-c5bc6d1100c9
