sample_id	subject_id	control	country	body_site	body_site_details	age	age_group	age_unit	ancestry	ancestry_details	antibiotics_current_use	biomarker	bmi	days_from_first_collection	dietary_restriction	disease	disease_details	disease_response_orr	disease_response_pfs	disease_response_pfs_month	disease_response_recist	dna_extraction_kit	family	family_role	feces_phenotype	fmt_id	fmt_role	hla	lifestyle	location	median_read_length	minimum_read_length	ncbi_accession	neonatal_birth_weight	neonatal_delivery_procedure	neonatal_feeding_method	neonatal_gestational_age	neonatal_preterm_birth	number_bases	number_reads	obgyn_birth_control	obgyn_lactating	obgyn_menopause	obgyn_pregnancy	pmid	probing_pocket_depth	sequencing_platform	sex	smoker	subcohort	treatment	tumor_staging_ajcc	tumor_staging_tnm	westernized	zigosity	uncurated_metadata	housing_cage	cohort	file_paths	uuid
3C-F	2289	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	5	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3C-F/CALTEC-001-3C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3C-F/CALTEC-001-3C-F_R2.fastq.gz;	2bcd07f9-960c-4bf9-a147-93daa514d7e8
4C-F	2290	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	5	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4C-F/CALTEC-001-4C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4C-F/CALTEC-001-4C-F_R2.fastq.gz;	fdb23de2-cc37-43b6-97a7-b63fa41b3fd2
5C-F	2298	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	6	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5C-F/CALTEC-001-5C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5C-F/CALTEC-001-5C-F_R2.fastq.gz;	bec7eb37-dfcd-41d9-bdfc-0bc5ba8f8330
6C-F	2297	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	6	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6C-F/CALTEC-001-6C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6C-F/CALTEC-001-6C-F_R2.fastq.gz;	36ff5b45-340f-4508-97f8-2db37a2c0c1a
7C-F	2307	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	7	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7C-F/CALTEC-001-7C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7C-F/CALTEC-001-7C-F_R2.fastq.gz;	0fe3ff8e-33c6-4901-8926-4a941a907c76
8C-F	2308	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	7	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8C-F/CALTEC-001-8C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8C-F/CALTEC-001-8C-F_R2.fastq.gz;	b1c1e4d6-33bc-4e44-b0ac-1dee48a9c90b
1F-F	2276	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Fp	NA	NA	NA	NA	NA	9	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1F-F/CALTEC-001-1F-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1F-F/CALTEC-001-1F-F_R2.fastq.gz;	fd90b87b-1ece-4b8b-8bac-a373b6bfc0d2
2F-F	2277	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Fp	NA	NA	NA	NA	NA	9	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2F-F/CALTEC-001-2F-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2F-F/CALTEC-001-2F-F_R2.fastq.gz;	8cafea18-38fb-4044-aa6e-e3575baf4f75
3F-F	2280	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Fp	NA	NA	NA	NA	NA	10	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3F-F/CALTEC-001-3F-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3F-F/CALTEC-001-3F-F_R2.fastq.gz;	9e528736-741f-4de9-9adf-e99566a3ec5c
4F-F	2281	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Fp	NA	NA	NA	NA	NA	10	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4F-F/CALTEC-001-4F-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4F-F/CALTEC-001-4F-F_R2.fastq.gz;	e35b993e-9261-4c7c-ac5d-5598630adf6f
