SAMPLE ID	CAGE	GENOTYPE	AGE	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Gastric Emptying time (s)	Bead Expulsion time (s)	Fecal Output (n)	file_paths	uuid
CALTEC-001-WT3_5mo	3	WT	5 months	10.23	3.92	7.21	1	49.5	73.24111	8	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_5mo/CALTEC-001-WT3_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_5mo/CALTEC-001-WT3_5mo_R2.fastq.gz;	6e7ed18a-bb8d-494d-849d-fcf7a44328d9
CALTEC-001-WT4_5mo	3	WT	5 months	9	1.38	8.63	1	44.5	72.76878	8	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_5mo/CALTEC-001-WT4_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_5mo/CALTEC-001-WT4_5mo_R2.fastq.gz;	ea477b50-27bd-4422-805c-10ad734486b5
CALTEC-001-WT5_5mo	3	WT	5 months	10.67	6	11.19	1	37.5	76.5	10	13	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_5mo/CALTEC-001-WT5_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_5mo/CALTEC-001-WT5_5mo_R2.fastq.gz;	f3c0edf9-19ba-4133-ac16-c236271b925e
CALTEC-001-WT6_5mo	4	WT	5 months	17.92	8.91	10.2	2	38	81.43	11	15	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_5mo/CALTEC-001-WT6_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_5mo/CALTEC-001-WT6_5mo_R2.fastq.gz;	0d168a1f-5792-4053-8c64-afd3367ff5b9
CALTEC-001-WT7_5mo	4	WT	5 months	10.82	5.2	5.61	0	47.5	77.678	2	12	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_5mo/CALTEC-001-WT7_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_5mo/CALTEC-001-WT7_5mo_R2.fastq.gz;	7a9cfbf4-b223-46b7-bd21-738cf97cc347
CALTEC-001-WT8_5mo	4	WT	5 months	8.01	10.63	17.01	1	34	60.567	3	12	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_5mo/CALTEC-001-WT8_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_5mo/CALTEC-001-WT8_5mo_R2.fastq.gz;	ffe30850-6b0d-4ffb-bc3c-9174d2333b7b
CALTEC-001-WT9_5mo	4	WT	5 months	7.69	1.52	2.68	1	38	81.5619	2	15	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_5mo/CALTEC-001-WT9_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_5mo/CALTEC-001-WT9_5mo_R2.fastq.gz;	cfc11d93-6cfb-4296-93c7-335f7d39c8e4
CALTEC-001-WT10_5mo	4	WT	5 months	5.67	2.34	5.67	2	46	79.4194	3	13	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_5mo/CALTEC-001-WT10_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_5mo/CALTEC-001-WT10_5mo_R2.fastq.gz;	fab4f94a-5744-464e-bc33-0adbe552808c
CALTEC-001-WT1_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_12mo/CALTEC-001-WT1_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_12mo/CALTEC-001-WT1_12mo_R2.fastq.gz;	9e215176-7229-492a-97ad-00e6d470ef51
CALTEC-001-WT2_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_12mo/CALTEC-001-WT2_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_12mo/CALTEC-001-WT2_12mo_R2.fastq.gz;	d431b88f-fa9f-419a-b775-18a6df61cb56
