SAMPLE.ID	CAGE	GENOTYPE	AGE	Time.to.cross.challenge.beam...s.	Adhesive.removal..s.	Time.to.descend.Pole..s.	Errors.on.bean.crossing..n.	Weight..g.	Gastric.Emptying.time..s.	Bead.Expulsion.time..s.	Fecal.Output..n.	file_paths	uuid
CALTEC-001-WT3_5mo	3	WT	5 months	10.23	3.92	7.21	1	49.5	73.24111	8	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_5mo/CALTEC-001-WT3_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_5mo/CALTEC-001-WT3_5mo_R2.fastq.gz;	02161463-623b-4fc6-b0fb-5ee975cbe07a
CALTEC-001-WT4_5mo	3	WT	5 months	9	1.38	8.63	1	44.5	72.76878	8	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_5mo/CALTEC-001-WT4_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT4_5mo/CALTEC-001-WT4_5mo_R2.fastq.gz;	b5fa3e96-94e2-499c-884d-c7b8395d424b
CALTEC-001-WT5_5mo	3	WT	5 months	10.67	6	11.19	1	37.5	76.5	10	13	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_5mo/CALTEC-001-WT5_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT5_5mo/CALTEC-001-WT5_5mo_R2.fastq.gz;	0ba61083-8632-4a7e-8076-16f0263e94d6
CALTEC-001-WT6_5mo	4	WT	5 months	17.92	8.91	10.2	2	38	81.43	11	15	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_5mo/CALTEC-001-WT6_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT6_5mo/CALTEC-001-WT6_5mo_R2.fastq.gz;	45befff5-6b4f-48b4-a37c-5d867e3b73a1
CALTEC-001-WT7_5mo	4	WT	5 months	10.82	5.2	5.61	0	47.5	77.678	2	12	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_5mo/CALTEC-001-WT7_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT7_5mo/CALTEC-001-WT7_5mo_R2.fastq.gz;	9703332e-228c-4361-b67e-71278ef9890f
CALTEC-001-WT8_5mo	4	WT	5 months	8.01	10.63	17.01	1	34	60.567	3	12	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_5mo/CALTEC-001-WT8_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT8_5mo/CALTEC-001-WT8_5mo_R2.fastq.gz;	491e47f7-1d09-45d9-b6cb-def1f5dd87d7
CALTEC-001-WT9_5mo	4	WT	5 months	7.69	1.52	2.68	1	38	81.5619	2	15	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_5mo/CALTEC-001-WT9_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT9_5mo/CALTEC-001-WT9_5mo_R2.fastq.gz;	74bb12fc-8c98-4502-946b-b94758fe5c68
CALTEC-001-WT10_5mo	4	WT	5 months	5.67	2.34	5.67	2	46	79.4194	3	13	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_5mo/CALTEC-001-WT10_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT10_5mo/CALTEC-001-WT10_5mo_R2.fastq.gz;	9b739b63-f9bb-4d9c-be2d-dde87ccd277a
CALTEC-001-WT1_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_12mo/CALTEC-001-WT1_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT1_12mo/CALTEC-001-WT1_12mo_R2.fastq.gz;	9a611463-8daf-4c0c-83f7-0b9f8d9523b0
CALTEC-001-WT2_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_12mo/CALTEC-001-WT2_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT2_12mo/CALTEC-001-WT2_12mo_R2.fastq.gz;	17fe036c-280b-49bb-a59a-ab0f5db0e15e
CALTEC-001-WT3_12mo	5	WT	12 months	NA	NA	NA	NA	NA	NA	NA	NA	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_12mo/CALTEC-001-WT3_12mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-WT3_12mo/CALTEC-001-WT3_12mo_R2.fastq.gz;	79bcee25-9771-403d-8bf2-a35c31c94687
