sample_id	subject_id	control	country	body_site	body_site_details	age	age_group	age_unit	ancestry	ancestry_details	antibiotics_current_use	biomarker	bmi	days_from_first_collection	dietary_restriction	disease	disease_details	disease_response_orr	disease_response_pfs	disease_response_pfs_month	disease_response_recist	dna_extraction_kit	family	family_role	feces_phenotype	fmt_id	fmt_role	hla	lifestyle	location	median_read_length	minimum_read_length	ncbi_accession	neonatal_birth_weight	neonatal_delivery_procedure	neonatal_feeding_method	neonatal_gestational_age	neonatal_preterm_birth	number_bases	number_reads	obgyn_birth_control	obgyn_lactating	obgyn_menopause	obgyn_pregnancy	pmid	probing_pocket_depth	sequencing_platform	sex	smoker	subcohort	treatment	tumor_staging_ajcc	tumor_staging_tnm	westernized	zigosity	uncurated_metadata	Cage	file_paths	uuid
DD11	11	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	C	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD11/CALTEC-001-DGD11_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD11/CALTEC-001-DGD11_R2.fastq.gz;	62e49289-2b46-434f-bdbc-2ca68f6f3948
DD12	12	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	D	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD12/CALTEC-001-DGD12_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD12/CALTEC-001-DGD12_R2.fastq.gz;	3dc65de0-ff5b-487c-8fc2-add2471cf549
DD13	13	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	D	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD13/CALTEC-001-DGD13_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD13/CALTEC-001-DGD13_R2.fastq.gz;	4a87d6e0-24a7-47e4-8e31-7c070f76cf7f
DD14	14	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	SPF	NA	NA	NA	NA	NA	NA	D	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD14/CALTEC-001-DGD14_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD14/CALTEC-001-DGD14_R2.fastq.gz;	949d2748-46be-4861-b598-ffb366514fe2
DD15	15	Study Control	NA	feces	NA	13.14	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	E	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD15/CALTEC-001-DGD15_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD15/CALTEC-001-DGD15_R2.fastq.gz;	65ccbd07-e1bd-4ae8-980f-0737d02f4c00
DD16	16	Study Control	NA	feces	NA	13.14	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	E	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD16/CALTEC-001-DGD16_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD16/CALTEC-001-DGD16_R2.fastq.gz;	2ef40776-1efd-41dd-a3c6-e4617a379855
DD17	17	Study Control	NA	feces	NA	13.14	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	WildR	NA	NA	NA	NA	NA	NA	E	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD17/CALTEC-001-DGD17_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD17/CALTEC-001-DGD17_R2.fastq.gz;	9c876302-4fc2-43c5-86dd-ecf8b9abde90
DD18	18	Study Control	NA	feces	NA	13.29	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	SPF	NA	NA	NA	NA	NA	NA	F	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD18/CALTEC-001-DGD18_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD18/CALTEC-001-DGD18_R2.fastq.gz;	2564dae2-002e-48d4-82c1-950810e0b772
DD19	19	Study Control	NA	feces	NA	13.29	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	SPF	NA	NA	NA	NA	NA	NA	F	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD19/CALTEC-001-DGD19_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD19/CALTEC-001-DGD19_R2.fastq.gz;	02eeb62d-ff33-4485-9ed1-dae5d90b7c19
DD20	20	Study Control	NA	feces	NA	13.29	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	SPF	NA	NA	NA	NA	NA	NA	F	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD20/CALTEC-001-DGD20_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD20/CALTEC-001-DGD20_R2.fastq.gz;	96f32222-0e2c-45d7-a298-439583acff27
DD21	21	Study Control	NA	feces	NA	13.29	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	G	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD21/CALTEC-001-DGD21_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD21/CALTEC-001-DGD21_R2.fastq.gz;	e654ab80-f11b-4d2b-95e2-283aa854eb9c
DD22	22	Study Control	NA	feces	NA	13.29	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	G	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD22/CALTEC-001-DGD22_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD22/CALTEC-001-DGD22_R2.fastq.gz;	14c8093b-63bc-42ee-ab86-098f19a3a7e8
DD23	23	Study Control	NA	feces	NA	13.29	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	G	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD23/CALTEC-001-DGD23_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD23/CALTEC-001-DGD23_R2.fastq.gz;	d7343e9f-6ec5-4025-ae85-e4b707005106
DD24	24	Study Control	NA	feces	NA	13.29	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	WildR	NA	NA	NA	NA	NA	NA	G	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD24/CALTEC-001-DGD24_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD24/CALTEC-001-DGD24_R2.fastq.gz;	472388a5-d987-42a4-a693-01f9791191d6
DD25	25	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	SPF	NA	NA	NA	NA	NA	NA	H	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD25/CALTEC-001-DGD25_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD25/CALTEC-001-DGD25_R2.fastq.gz;	6c595ec1-3ba7-4020-b255-b3945333350f
DD26	26	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	SPF	NA	NA	NA	NA	NA	NA	H	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD26/CALTEC-001-DGD26_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD26/CALTEC-001-DGD26_R2.fastq.gz;	53722ba8-8314-47c5-babb-9c4ca6367c1b
DD27	27	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	SPF	NA	NA	NA	NA	NA	NA	H	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD27/CALTEC-001-DGD27_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD27/CALTEC-001-DGD27_R2.fastq.gz;	c060bc4f-94a0-4988-a33d-3eeca30df467
DD28	28	Study Control	NA	feces	NA	13	NA	Week	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Female	NA	SPF	NA	NA	NA	NA	NA	NA	H	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD28/CALTEC-001-DGD28_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-DGD28/CALTEC-001-DGD28_R2.fastq.gz;	a1bd1881-5918-41f3-8250-3a4141986204
