study_name	BioProject	sample_id	NCBI_accession	uuid
BedarfJR_2017	PRJEB17784	SAMEA103958122	ERR1913104;ERR1913105;ERR1913106;ERR1913107;ERR1913296;ERR1913297;ERR1913298;ERR1913299	5718ab60-ccca-40f0-a4ba-51c1e482df1c
BedarfJR_2017	PRJEB17784	SAMEA103958123	ERR1913037;ERR1913038;ERR1913039;ERR1913229;ERR1913230;ERR1913231	225f4962-0895-4a9e-b1f7-efcce4f3f358
BedarfJR_2017	PRJEB17784	SAMEA103958124	ERR1913010;ERR1913011;ERR1913012;ERR1913013;ERR1913202;ERR1913203;ERR1913204;ERR1913205	235db879-8b77-4f19-a06b-c1a214626410
BedarfJR_2017	PRJEB17784	SAMEA103958125	ERR1912953;ERR1912954;ERR1912955;ERR1912956;ERR1913145;ERR1913146;ERR1913147;ERR1913148	6104c602-016b-4253-924d-e079ec297958
BedarfJR_2017	PRJEB17784	SAMEA103958126	ERR1913080;ERR1913081;ERR1913082;ERR1913083;ERR1913272;ERR1913273;ERR1913274;ERR1913275	0d76de3e-ddc5-435e-ac7d-7d050e711ade
BedarfJR_2017	PRJEB17784	SAMEA103958127	ERR1913064;ERR1913065;ERR1913066;ERR1913067;ERR1913068;ERR1913256;ERR1913257;ERR1913258;ERR1913259;ERR1913260	cc2de5bc-640b-47e9-9f32-40c3ea56b08e
BedarfJR_2017	PRJEB17784	SAMEA103958128	ERR1913021;ERR1913022;ERR1913023;ERR1913024;ERR1913213;ERR1913214;ERR1913215;ERR1913216	33118135-7dbe-4f0a-a891-c52d22f2607e
BedarfJR_2017	PRJEB17784	SAMEA103958129	ERR1913057;ERR1913058;ERR1913059;ERR1913249;ERR1913250;ERR1913251	3925d33a-f282-4b79-9577-c02491c2c853
BedarfJR_2017	PRJEB17784	SAMEA103958130	ERR1912964;ERR1912965;ERR1912966;ERR1913156;ERR1913157;ERR1913158	3fd71f08-4efc-427f-9941-9826a7b1b2ca
BedarfJR_2017	PRJEB17784	SAMEA103958131	ERR1912983;ERR1912984;ERR1912985;ERR1913175;ERR1913176;ERR1913177	aac78b73-3758-49f4-9584-d277c9de0314
BedarfJR_2017	PRJEB17784	SAMEA103958132	ERR1913050;ERR1913051;ERR1913052;ERR1913053;ERR1913242;ERR1913243;ERR1913244;ERR1913245	717b6e61-f982-448d-8039-de7eec113787
BedarfJR_2017	PRJEB17784	SAMEA103958133	ERR1913096;ERR1913097;ERR1913098;ERR1913099;ERR1913288;ERR1913289;ERR1913290;ERR1913291	5eb9b661-28ce-4886-99e2-668cbc14b3c0
BedarfJR_2017	PRJEB17784	SAMEA103958134	ERR1912972;ERR1912973;ERR1912974;ERR1912975;ERR1913164;ERR1913165;ERR1913166;ERR1913167	8b6ef4c5-fb3a-4d7d-8e5c-5c8b876752ed
BedarfJR_2017	PRJEB17784	SAMEA103958135	ERR1913060;ERR1913061;ERR1913062;ERR1913252;ERR1913253;ERR1913254	eae38436-d225-46a9-9778-e03137b09ab7
BedarfJR_2017	PRJEB17784	SAMEA103958136	ERR1912991;ERR1912992;ERR1912993;ERR1913183;ERR1913184;ERR1913185	d11291f4-2e0e-4b09-920a-561470f40997
BedarfJR_2017	PRJEB17784	SAMEA103958137	ERR1912961;ERR1912962;ERR1912963;ERR1913153;ERR1913154;ERR1913155	f2641076-944c-45c4-ade8-31f89f4d7916
BedarfJR_2017	PRJEB17784	SAMEA103958138	ERR1913108;ERR1913109;ERR1913110;ERR1913300;ERR1913301;ERR1913302	0e2f2379-9e54-4cbe-8b75-092cbe9e56f0
BedarfJR_2017	PRJEB17784	SAMEA103958139	ERR1913116;ERR1913117;ERR1913118;ERR1913308;ERR1913309;ERR1913310	e9bdb145-024b-431a-81cd-51a63f27be01
BedarfJR_2017	PRJEB17784	SAMEA103958140	ERR1913100;ERR1913101;ERR1913102;ERR1913103;ERR1913292;ERR1913293;ERR1913294;ERR1913295	44be2b15-2ef9-4688-b99a-0ae51da7b4fe
BedarfJR_2017	PRJEB17784	SAMEA103958141	ERR1913040;ERR1913041;ERR1913042;ERR1913043;ERR1913232;ERR1913233;ERR1913234;ERR1913235	8e838bc2-670b-4dce-a5c2-109502257a77
BedarfJR_2017	PRJEB17784	SAMEA103958142	ERR1913076;ERR1913077;ERR1913078;ERR1913079;ERR1913268;ERR1913269;ERR1913270;ERR1913271	70eef31b-8326-4fc5-9ff6-c17ac248bbf1
BedarfJR_2017	PRJEB17784	SAMEA103958143	ERR1913044;ERR1913045;ERR1913046;ERR1913236;ERR1913237;ERR1913238	fdf12998-ff1b-4f2b-8212-6b9fa336790d
BedarfJR_2017	PRJEB17784	SAMEA103958144	ERR1913025;ERR1913026;ERR1913027;ERR1913028;ERR1913217;ERR1913218;ERR1913219;ERR1913220	cc51776d-c346-40ee-a772-88d55480cccd
BedarfJR_2017	PRJEB17784	SAMEA103958145	ERR1913014;ERR1913015;ERR1913016;ERR1913206;ERR1913207;ERR1913208	d0f70dbe-fb98-4800-8015-8b06589032d1
BedarfJR_2017	PRJEB17784	SAMEA103958146	ERR1913111;ERR1913112;ERR1913113;ERR1913114;ERR1913303;ERR1913304;ERR1913305;ERR1913306	f8b72b54-dea1-4b9b-93f4-9eeb1c0e4f2c
BedarfJR_2017	PRJEB17784	SAMEA103958147	ERR1913054;ERR1913055;ERR1913056;ERR1913246;ERR1913247;ERR1913248	e53ad715-22be-48b6-aa54-e19704f54475
BedarfJR_2017	PRJEB17784	SAMEA103958148	ERR1912946;ERR1912947;ERR1912948;ERR1913138;ERR1913139;ERR1913140	7ab48e57-8e69-41f8-a64c-92213c472085
BedarfJR_2017	PRJEB17784	SAMEA103958149	ERR1913007;ERR1913008;ERR1913009;ERR1913199;ERR1913200;ERR1913201	46ee696a-0e87-43ca-b3f0-eb0d09d42047
BedarfJR_2017	PRJEB17784	SAMEA103958150	ERR1912979;ERR1912980;ERR1912981;ERR1912982;ERR1913171;ERR1913172;ERR1913173;ERR1913174	e4daca99-e698-4a6b-9259-2d84bbfd0ba0
BedarfJR_2017	PRJEB17784	SAMEA103958151	ERR1913002;ERR1913003;ERR1913004;ERR1913005;ERR1913194;ERR1913195;ERR1913196;ERR1913197	bb48ecbc-c7fb-47d8-818f-1fd0a06ee735
BedarfJR_2017	PRJEB17784	SAMEA103958152	ERR1913084;ERR1913085;ERR1913086;ERR1913087;ERR1913276;ERR1913277;ERR1913278;ERR1913279	98ca59ce-f722-4a74-9e95-fa0a69b03611
BedarfJR_2017	PRJEB17784	SAMEA103958153	ERR1913029;ERR1913030;ERR1913031;ERR1913221;ERR1913222;ERR1913223	bbfe3f63-d5e1-44de-be4c-9b90ed857ec8
BedarfJR_2017	PRJEB17784	SAMEA103958154	ERR1913126;ERR1913318	9b2cddd0-4db5-4b7d-828a-f0cba3356e97
BedarfJR_2017	PRJEB17784	SAMEA103958155	ERR1912990;ERR1913182	4820efc8-4ea3-4136-9704-1eb65c3949da
BedarfJR_2017	PRJEB17784	SAMEA103958156	ERR1913006;ERR1913198	e4e9bea4-7a88-406e-a186-1cb5faafbc69
