study_name	BioProject	sample_id	NCBI_accession	uuid
BoktorJC_2023	PRJEB53403	SAMEA110061210	ERR9830179	efbd9490-8800-476e-8e5d-a96207b4b716
BoktorJC_2023	PRJEB53403	SAMEA110061211	ERR9830180	4e94b1b3-6cbe-4782-afc7-7da926aea141
BoktorJC_2023	PRJEB53403	SAMEA110061212	ERR9830181	3bf6c89d-ea75-4e91-b3e2-237703b93433
BoktorJC_2023	PRJEB53403	SAMEA110061213	ERR9830182	9447cff8-538a-4278-ad55-d6fc7132f2b6
BoktorJC_2023	PRJEB53403	SAMEA110061214	ERR9830183	ae99b072-236a-402f-8047-09fcf0a9f46c
BoktorJC_2023	PRJEB53403	SAMEA110061215	ERR9830184	ccd07808-3e64-461e-9b42-5a955b2956b9
BoktorJC_2023	PRJEB53403	SAMEA110061216	ERR9830185	b3dce2ae-7b72-4e2d-8638-a51f7a651cde
BoktorJC_2023	PRJEB53403	SAMEA110061217	ERR9830186	dede8035-9ea3-4457-9247-fd91c77c47fc
BoktorJC_2023	PRJEB53403	SAMEA110061218	ERR9830187	612256bf-b2d6-4f42-9321-9e846e40e9f7
BoktorJC_2023	PRJEB53403	SAMEA110061219	ERR9830188	fc36b5f5-d9cb-41b0-9684-1f92c9a710c8
BoktorJC_2023	PRJEB53403	SAMEA110061220	ERR9830189	d373a0bf-438f-42ed-9ab6-5aac54c5e274
BoktorJC_2023	PRJEB53403	SAMEA110061221	ERR9830190	96a87115-14fa-40f4-91a5-f88115f6d7ec
BoktorJC_2023	PRJEB53403	SAMEA110061222	ERR9830191	bef21497-7d32-42a0-9931-99ea9c938bbb
BoktorJC_2023	PRJEB53403	SAMEA110061223	ERR9830192	798128ea-ed09-459f-b5e1-5f3909d81ec3
BoktorJC_2023	PRJEB53403	SAMEA110061224	ERR9830193	b1a0ee8d-dd4d-4fb5-bc59-ddbec1cc4ab7
BoktorJC_2023	PRJEB53403	SAMEA110061225	ERR9830194	cda6fa95-1020-4dbe-bdd4-96b8a1b5892b
BoktorJC_2023	PRJEB53403	SAMEA110061226	ERR9830195	4015d42b-bcb5-40c4-94bd-d4f52537378e
BoktorJC_2023	PRJEB53403	SAMEA110061227	ERR9830196	ac47d60c-dd4a-42d3-84e7-ded2206da874
BoktorJC_2023	PRJEB53403	SAMEA110061228	ERR9830197	5cdec938-26a3-4a0b-b14c-860e484062b9
BoktorJC_2023	PRJEB53403	SAMEA110061229	ERR9830198	40c8d7bf-f2ab-484d-bde7-f866c175cf29
BoktorJC_2023	PRJEB53403	SAMEA110061230	ERR9830199	6c32adf0-bb4a-49f7-9951-4654236f3e59
BoktorJC_2023	PRJEB53403	SAMEA110061231	ERR9830200	de6e36c7-9024-4b39-8a20-739dcb04d146
BoktorJC_2023	PRJEB53403	SAMEA110061232	ERR9830201	cfd4ce65-5b52-4829-b7d2-d22b24cc97f5
BoktorJC_2023	PRJEB53403	SAMEA110061233	ERR9830202	7968667c-7a57-4fbe-a051-3feeabf4e62e
BoktorJC_2023	PRJEB53403	SAMEA110061234	ERR9830203	10d4a26b-2a39-4376-9f22-0ab4df7b5864
BoktorJC_2023	PRJEB53403	SAMEA110061235	ERR9830204	8bf6cfd4-dd0f-47dc-a0cb-001c16fa61a1
BoktorJC_2023	PRJEB53403	SAMEA110061236	ERR9830205	da6def16-0ad6-435d-8c8f-e5b362758a9a
BoktorJC_2023	PRJEB53403	SAMEA110061237	ERR9830206	2311486f-8643-4df2-980f-0db6173f91be
BoktorJC_2023	PRJEB53403	SAMEA110061238	ERR9830207	77390c98-13ee-4d61-a7fb-d5621fc7f7c3
BoktorJC_2023	PRJEB53403	SAMEA110061239	ERR9830208	51dc81fc-21fc-4147-a22d-ea8cb6f8500f
BoktorJC_2023	PRJEB53403	SAMEA110061240	ERR9830209	d16e417f-79d9-4c87-a07b-cb9e30f1f072
BoktorJC_2023	PRJEB53403	SAMEA110061241	ERR9830210	9614c172-4b97-4770-995e-2a2eea9e8b93
BoktorJC_2023	PRJEB53403	SAMEA110061242	ERR9830211	af2da163-9252-461d-81ba-e0c56e7bbf86
BoktorJC_2023	PRJEB53403	SAMEA110061243	ERR9830212	a619da53-db64-4cfc-b882-5c8fd28c1648
BoktorJC_2023	PRJEB53403	SAMEA110061244	ERR9830213	7ac0486e-ef18-4dd6-8c48-05a506a3b181
BoktorJC_2023	PRJEB53403	SAMEA110061245	ERR9830214	9bd631ab-877d-4091-babf-18c0688ba2a6
BoktorJC_2023	PRJEB53403	SAMEA110061246	ERR9830215	92df5ecc-6744-42de-b8fc-c951fd9e301c
BoktorJC_2023	PRJEB53403	SAMEA110061247	ERR9830216	a8332b20-9933-467e-b2de-01f83f4e35dd
BoktorJC_2023	PRJEB53403	SAMEA110061248	ERR9830217	fbc9486e-568d-416e-97c7-d0282dd54ca9
BoktorJC_2023	PRJEB53403	SAMEA110061249	ERR9830218	6e69f4c0-84bd-48fd-999d-390ac535956e
BoktorJC_2023	PRJEB53403	SAMEA110061250	ERR9830219	a1c6a9a2-7013-4f03-9f09-213833fada6c
BoktorJC_2023	PRJEB53403	SAMEA110061251	ERR9830220	456f59f3-3b21-4a7e-9c40-f4307eaff51e
BoktorJC_2023	PRJEB53403	SAMEA110061252	ERR9830221	22a39049-aec0-4072-b6dd-b5fdd298f1a0
BoktorJC_2023	PRJEB53403	SAMEA110061253	ERR9830222	f96ddc47-e471-4b69-b9c1-ac7c74a6d910
BoktorJC_2023	PRJEB53403	SAMEA110061254	ERR9830223	ebca839e-4c04-4bda-b27c-4cb6a33f9a64
BoktorJC_2023	PRJEB53403	SAMEA110061255	ERR9830224	f7637934-b9a3-4aa7-b55d-4265a5827cc4
BoktorJC_2023	PRJEB53403	SAMEA110061256	ERR9830225	8d7726b9-05d0-4462-9c11-2d3d49883262
