sample_id	subject_id	control	country	body_site	body_site_details	age	age_group	age_unit	ancestry	ancestry_details	antibiotics_current_use	biomarker	bmi	days_from_first_collection	dietary_restriction	disease	disease_details	disease_response_orr	disease_response_pfs	disease_response_pfs_month	disease_response_recist	dna_extraction_kit	family	family_role	feces_phenotype	fmt_id	fmt_role	hla	lifestyle	location	median_read_length	minimum_read_length	ncbi_accession	neonatal_birth_weight	neonatal_delivery_procedure	neonatal_feeding_method	neonatal_gestational_age	neonatal_preterm_birth	number_bases	number_reads	obgyn_birth_control	obgyn_lactating	obgyn_menopause	obgyn_pregnancy	pmid	probing_pocket_depth	sequencing_platform	sex	smoker	subcohort	treatment	tumor_staging_ajcc	tumor_staging_tnm	westernized	zigosity	uncurated_metadata	housing_cage	cohort	file_paths	uuid
1W-F	2272	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	1	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1W-F/CALTEC-001-1W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1W-F/CALTEC-001-1W-F_R2.fastq.gz;	9a286a2c-9707-40e6-bd14-9933cb9a3f6d
2W-F	2273	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	1	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2W-F/CALTEC-001-2W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2W-F/CALTEC-001-2W-F_R2.fastq.gz;	ccb92ffd-0af2-47b4-b1a9-bd9b7101564a
3W-F	2302	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	2	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3W-F/CALTEC-001-3W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-3W-F/CALTEC-001-3W-F_R2.fastq.gz;	37826a15-5cb5-4914-af05-483fd12c9bab
4W-F	2304	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	3	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4W-F/CALTEC-001-4W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-4W-F/CALTEC-001-4W-F_R2.fastq.gz;	215c9033-9769-4ad6-ad14-0e1628d143bd
5W-F	2306	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	3	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5W-F/CALTEC-001-5W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-5W-F/CALTEC-001-5W-F_R2.fastq.gz;	0055822e-9795-42bc-add8-ea49749c81c0
6W-F	2303	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	2	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6W-F/CALTEC-001-6W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-6W-F/CALTEC-001-6W-F_R2.fastq.gz;	bdc0399f-0c7f-405f-96e3-33a80e50d08b
7W-F	2311	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-2	Vehicle	NA	NA	NA	NA	NA	14	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7W-F/CALTEC-001-7W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-7W-F/CALTEC-001-7W-F_R2.fastq.gz;	9bfa8c84-1533-4e63-8dac-3b4fc9ba95f2
8W-F	2314	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	WT	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-2	Vehicle	NA	NA	NA	NA	NA	14	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8W-F/CALTEC-001-8W-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-8W-F/CALTEC-001-8W-F_R2.fastq.gz;	56b624c5-da28-4845-ad43-507c7decd0a7
1C-F	2267	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	4	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1C-F/CALTEC-001-1C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-1C-F/CALTEC-001-1C-F_R2.fastq.gz;	849aa860-2de3-43eb-8d56-65b3098128f5
2C-F	2268	NA	NA	NA	NA	18	NA	weeks	NA	NA	NA	NA	NA	NA	NA	ASO	NA	NA	NA	NA	NA	Qiagen PowerFecal Pro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Male	NA	Fp7-1	Vehicle	NA	NA	NA	NA	NA	4	Fp7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2C-F/CALTEC-001-2C-F_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-2C-F/CALTEC-001-2C-F_R2.fastq.gz;	e6ff9ba7-743c-46ce-b23b-b118f1aa29da
