tube_id	genotype	microbiome	sex	ear_punch	date_of_birth	cage	cohort	file_paths	uuid
SPF P1 F3	Pink1 KO	SPF	F	L	4/5/24	5	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F3/CALTEC-001-SPF_P1_F3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F3/CALTEC-001-SPF_P1_F3_R2.fastq.gz;	fb66c692-a367-480d-8364-be22897b539e
SPF P1 F4	Pink1 KO	SPF	F	N	5/3/24	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F4/CALTEC-001-SPF_P1_F4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F4/CALTEC-001-SPF_P1_F4_R2.fastq.gz;	8aa3d815-1390-405f-b514-782e1018af45
SPF P1 F5	Pink1 KO	SPF	F	R	5/3/24	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F5/CALTEC-001-SPF_P1_F5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F5/CALTEC-001-SPF_P1_F5_R2.fastq.gz;	db052ca7-809c-4c9b-b2cb-dff3d09baf1c
SPF P1 F6	Pink1 KO	SPF	F	L	5/3/24	6	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F6/CALTEC-001-SPF_P1_F6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_F6/CALTEC-001-SPF_P1_F6_R2.fastq.gz;	abd2c268-4205-4dff-b4a8-a962949a16d8
SPF P1 M1	Pink1 KO	SPF	M	N	4/5/24	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M1/CALTEC-001-SPF_P1_M1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M1/CALTEC-001-SPF_P1_M1_R2.fastq.gz;	70da9754-8504-4f71-9485-2663f5746ced
SPF P1 M2	Pink1 KO	SPF	M	R	4/5/24	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M2/CALTEC-001-SPF_P1_M2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M2/CALTEC-001-SPF_P1_M2_R2.fastq.gz;	d73b766e-01cd-4c68-885d-bec16b96c04f
SPF P1 M3	Pink1 KO	SPF	M	L	4/5/24	7	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M3/CALTEC-001-SPF_P1_M3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M3/CALTEC-001-SPF_P1_M3_R2.fastq.gz;	d35017f5-9549-4ef7-9cae-2b9d93e8c9b7
SPF P1 M4	Pink1 KO	SPF	M	N	4/29/24	8	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M4/CALTEC-001-SPF_P1_M4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M4/CALTEC-001-SPF_P1_M4_R2.fastq.gz;	0bee6d71-4a98-4ad1-9d81-28d781630357
SPF P1 M5	Pink1 KO	SPF	M	R	4/29/24	8	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M5/CALTEC-001-SPF_P1_M5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M5/CALTEC-001-SPF_P1_M5_R2.fastq.gz;	3273dcb8-e290-4483-8ebe-427430d20b7a
SPF P1 M6	Pink1 KO	SPF	M	L	4/29/24	8	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M6/CALTEC-001-SPF_P1_M6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-SPF_P1_M6/CALTEC-001-SPF_P1_M6_R2.fastq.gz;	0ad14bc7-077b-4676-9f36-9233d52db03c
HC B6 F1	B6J	HCOM2	F	N	4/3/24	9	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F1/CALTEC-001-HC_B6_F1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F1/CALTEC-001-HC_B6_F1_R2.fastq.gz;	ff76b0ab-9ec4-4cd4-9480-902f27a5ef3f
HC B6 F2	B6J	HCOM2	F	R	4/3/24	9	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F2/CALTEC-001-HC_B6_F2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F2/CALTEC-001-HC_B6_F2_R2.fastq.gz;	103d6871-f392-4f4c-86da-907e13274b04
HC B6 F3	B6J	HCOM2	F	L	4/3/24	9	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F3/CALTEC-001-HC_B6_F3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F3/CALTEC-001-HC_B6_F3_R2.fastq.gz;	ec7bb340-3b9c-4486-96e7-676181610fee
HC B6 F4	B6J	HCOM2	F	RL	4/3/24	9	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F4/CALTEC-001-HC_B6_F4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F4/CALTEC-001-HC_B6_F4_R2.fastq.gz;	d0bd8c60-15d9-4cf2-80c5-7279902813e7
HC B6 F5	B6J	HCOM2	F	N	4/30/24	10	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F5/CALTEC-001-HC_B6_F5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_F5/CALTEC-001-HC_B6_F5_R2.fastq.gz;	3169ddab-97b8-40ca-81a9-e2ac56989941
HC B6 M1	B6J	HCOM2	M	N	4/3/24	11	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M1/CALTEC-001-HC_B6_M1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M1/CALTEC-001-HC_B6_M1_R2.fastq.gz;	a576ad7f-0665-4ddd-ab51-5f6882122122
HC B6 M2	B6J	HCOM2	M	R	4/3/24	11	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M2/CALTEC-001-HC_B6_M2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M2/CALTEC-001-HC_B6_M2_R2.fastq.gz;	14a97f37-2f21-4df8-93a9-6f42b0eefdee
HC B6 M3	B6J	HCOM2	M	L	4/3/24	11	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M3/CALTEC-001-HC_B6_M3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M3/CALTEC-001-HC_B6_M3_R2.fastq.gz;	aa926f5d-e51f-47ac-b234-4a87a22d4bf9
HC B6 M4	B6J	HCOM2	M	N	4/30/24	12	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M4/CALTEC-001-HC_B6_M4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M4/CALTEC-001-HC_B6_M4_R2.fastq.gz;	f8d00893-4f9a-4a3b-9770-d5214ae815d9
HC B6 M5	B6J	HCOM2	M	R	4/30/24	12	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M5/CALTEC-001-HC_B6_M5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M5/CALTEC-001-HC_B6_M5_R2.fastq.gz;	9b5cd14f-ea40-4c32-98b0-712659086a20
HC B6 M6	B6J	HCOM2	M	L	4/30/24	12	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M6/CALTEC-001-HC_B6_M6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_B6_M6/CALTEC-001-HC_B6_M6_R2.fastq.gz;	c629bb43-eaa2-4014-afe9-84ebe353bf15
HC P1 F1	PINK1 KO	HCOM2	F	N	3/23/24	13	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F1/CALTEC-001-HC_P1_F1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F1/CALTEC-001-HC_P1_F1_R2.fastq.gz;	389621b6-dcfd-4d15-aa1c-655ba9d20a3d
HC P1 F2	PINK1 KO	HCOM2	F	R	3/23/24	13	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F2/CALTEC-001-HC_P1_F2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F2/CALTEC-001-HC_P1_F2_R2.fastq.gz;	de15d98e-6be0-49f9-b2e8-fe16bf59707a
HC P1 F3	PINK1 KO	HCOM2	F	L	3/23/24	13	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F3/CALTEC-001-HC_P1_F3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F3/CALTEC-001-HC_P1_F3_R2.fastq.gz;	64f1612b-bba2-4dd0-a53a-1aa929ee3eb2
HC P1 F4	PINK1 KO	HCOM2	F	N	5/8/24	14	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F4/CALTEC-001-HC_P1_F4_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F4/CALTEC-001-HC_P1_F4_R2.fastq.gz;	d4af7607-ef77-470f-873a-9cf4afbdce64
HC P1 F5	PINK1 KO	HCOM2	F	R	5/8/24	14	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F5/CALTEC-001-HC_P1_F5_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F5/CALTEC-001-HC_P1_F5_R2.fastq.gz;	ca409b26-2262-43d6-a1f7-bb4f883bed39
HC P1 F6	PINK1 KO	HCOM2	F	L	5/8/24	14	C3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F6/CALTEC-001-HC_P1_F6_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_F6/CALTEC-001-HC_P1_F6_R2.fastq.gz;	72e18441-1c69-49e6-aadd-b679d44fbb58
HC P1 M1	PINK1 KO	HCOM2	M	N	3/23/24	15	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M1/CALTEC-001-HC_P1_M1_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M1/CALTEC-001-HC_P1_M1_R2.fastq.gz;	ee5468a3-1199-4016-8a14-41a5a3f626d4
HC P1 M2	PINK1 KO	HCOM2	M	R	3/23/24	15	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M2/CALTEC-001-HC_P1_M2_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M2/CALTEC-001-HC_P1_M2_R2.fastq.gz;	7f285fd2-472b-44b1-8027-d1b06b3ca45a
HC P1 M3	PINK1 KO	HCOM2	M	L	3/23/24	15	C2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M3/CALTEC-001-HC_P1_M3_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-HC_P1_M3/CALTEC-001-HC_P1_M3_R2.fastq.gz;	7e20c95a-233f-4759-90d4-ec8a015b8293
