Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Group,HOST,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,litter_id,mouse_id,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,total_sequences
SRR28674691,1,WGS,302,405507178,PRJNA1099939,SAMN40961730,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",178327731,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-07-01,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243018,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG018AM5_1MTH_07012019,PAIRED,RANDOM,METAGENOMIC,hSCATG018,hSCATG018AM5,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG018AM5_1MTH_07012019,SRP501636,1693973
SRR28674701,1,WGS,302,373268980,PRJNA1099939,SAMN40961794,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",166829315,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-07-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243008,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG027AM2_1MTH_07152019,PAIRED,RANDOM,METAGENOMIC,hSCATG027,hSCATG027AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG027AM2_1MTH_07152019,SRP501636,1479218
SRR28674702,12,WGS,302,461195978,PRJNA1099939,SAMN40961793,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",206163813,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-06-14,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243007,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG027AM2_12MTH_06142020,PAIRED,RANDOM,METAGENOMIC,hSCATG027,hSCATG027AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG027AM2_12MTH_06142020,SRP501636,1833932
SRR28674706,1,WGS,302,413308140,PRJNA1099939,SAMN40961790,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",180601132,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-07-15,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243003,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG026AM5_1MTH_07152019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM5,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG026AM5_1MTH_07152019,SRP501636,1672307
SRR28674707,12,WGS,302,417941726,PRJNA1099939,SAMN40961789,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",186652188,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-06-14,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243002,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG026AM5_12MTH_06142020,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM5,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG026AM5_12MTH_06142020,SRP501636,1761675
SRR28674708,6,WGS,302,327451352,PRJNA1099939,SAMN40961788,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",143198735,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-12-16,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24243001,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG026AM4_6MTH_12162019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM4,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG026AM4_6MTH_12162019,SRP501636,1326165
SRR28674718,3,WGS,302,499333142,PRJNA1099939,SAMN40961779,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",219325015,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-09-16,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242991,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG026AM2_3MTH_09162019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:58:00Z,1,hSCATG026AM2_3MTH_09162019,SRP501636,2095439
SRR28674719,1,WGS,302,403067320,PRJNA1099939,SAMN40961778,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",174550160,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-07-15,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242990,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG026AM2_1MTH_07152019,PAIRED,RANDOM,METAGENOMIC,hSCATG026,hSCATG026AM2,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG026AM2_1MTH_07152019,SRP501636,1569683
SRR28674720,6,WGS,302,416686312,PRJNA1099939,SAMN40961884,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",186648653,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-01-08,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242989,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG040AM6_6MTH_01082020,PAIRED,RANDOM,METAGENOMIC,hSCATG040,hSCATG040AM6,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG040AM6_6MTH_01082020,SRP501636,1545315
SRR28674721,3,WGS,302,511195702,PRJNA1099939,SAMN40961883,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",224252296,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-10-08,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242988,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG040AM6_3MTH_10082019,PAIRED,RANDOM,METAGENOMIC,hSCATG040,hSCATG040AM6,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG040AM6_3MTH_10082019,SRP501636,2008552
SRR28674722,1,WGS,302,520301304,PRJNA1099939,SAMN40961882,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",217596883,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-08-08,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242987,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG040AM6_1MTH_08082019,PAIRED,RANDOM,METAGENOMIC,hSCATG040,hSCATG040AM6,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG040AM6_1MTH_08082019,SRP501636,1651775
SRR28674723,12,WGS,302,408742202,PRJNA1099939,SAMN40961881,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",184461034,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-07-08,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242986,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG040AM6_12MTH_07082020,PAIRED,RANDOM,METAGENOMIC,hSCATG040,hSCATG040AM6,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG040AM6_12MTH_07082020,SRP501636,1671779
SRR28674724,12,WGS,302,368518822,PRJNA1099939,SAMN40961737,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",169180183,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-06-04,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242985,USA,North America,USA: Alabama,NTG,Mus musculus,Illumina HiSeq X,hSCATG021AM1_12MTH_06042020,PAIRED,RANDOM,METAGENOMIC,hSCATG021,hSCATG021AM1,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG021AM1_12MTH_06042020,SRP501636,1493359
SRR28674725,6,WGS,302,413525278,PRJNA1099939,SAMN40961880,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",187626226,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-01-08,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242984,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG040AM5_6MTH_01082020,PAIRED,RANDOM,METAGENOMIC,hSCATG040,hSCATG040AM5,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:56:00Z,1,hSCATG040AM5_6MTH_01082020,SRP501636,1535455
SRR28674726,3,WGS,302,332531596,PRJNA1099939,SAMN40961879,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",156077175,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-10-08,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242983,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG040AM5_3MTH_10082019,PAIRED,RANDOM,METAGENOMIC,hSCATG040,hSCATG040AM5,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:57:00Z,1,hSCATG040AM5_3MTH_10082019,SRP501636,1236889
SRR28674743,6,WGS,302,271456022,PRJNA1099939,SAMN40961800,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",132367420,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2019-12-16,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",mouse gut,mouse gut,fecal material [ENVO:00002003],SRX24242966,USA,North America,USA: Alabama,TG,Mus musculus,Illumina HiSeq X,hSCATG027AM3_6MTH_12162019,PAIRED,RANDOM,METAGENOMIC,hSCATG027,hSCATG027AM3,mouse gut metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-04-14T15:58:00Z,1,hSCATG027AM3_6MTH_12162019,SRP501636,636665
